case,filter,rmse,relative_l2,mean_ratio_on_mask
noiseless,ramp,0.12529364530794085,0.09789248096416632,0.9766828573951465
noiseless,A,0.3241066049285955,0.2532259283809206,1.181566860999615
noiseless,B,0.8802144241898188,0.6877154348300009,1.9065098344279197
noiseless,C,0.18308063767871988,0.14304171448458639,0.9634243347024618
noiseless,D,0.1447704063335814,0.11310976076522977,0.9756203744319187
noiseless,E,0.14433228883936897,0.112767457623224,0.9755963558765856
noiseless,F,0.16269524729207308,0.12711451853249092,0.9750904789773557
noisy,ramp,1.4517090554898093,1.1342267257909948,0.9780502108342622
noisy,A,1.4820498331577867,1.1579321099946442,1.1837763364212812
noisy,B,1.6938328409064944,1.323399113557516,1.9083869506702356
noisy,C,0.34095083743115784,0.266386401967274,0.9648666530655522
noisy,D,0.5003804710916977,0.39094948208103675,0.9770337849703806
noisy,E,0.4910554699544111,0.38366381732063237,0.9770224494265777
noisy,F,0.40826768539870445,0.31898135394616,0.9765538043186341
